"pubchem_cid","species_name"
"13894537","cnidium monnieri"
"46210042","jungermannia exsertifolia"
"11380002","unknown"
"53356514","cystobacter violaceus "
"122180071","pittosporum venulosum"
"482787","aconitum nasutum"
"683","homo sapiens"
"5281946","unknown"
"unknown","unknown"
"21593565","unknown"
"447434","drimia altissima"
"11379428","serratia plymuthica"
"134138871","ziziphus jujuba"
"10327179","melibe leonina"
"53355015","gaillardia powellii"
"637182","unknown"
"1796220","cyperus rotundus"
"5320553","celastrus angulatus"
"23670849","unknown"
"46891354","unknown"
"132487957","taxus wallichiana"
"479498","arnebia euchroma"
"636721","unknown"
"unknown","flustra foliacea"
"23667171","aphelasterias japonica"
"52326187","unknown"
"9898761","actinidia arguta"
"9832350","unknown"
"21123851","unknown"
"15548728","igernella notabilis"
"10926754","zanthoxylum acanthopodium"
"5464455","pogostemon cablin"
"11282647","caesalpinia crista"
"44583688","unknown"
"3083514","unknown"
"5318045","echinacea pallida"
"15570","unknown"
"7074740","exallage chrysotricha"
"21594247","unknown"
"101623719","cryptocarya aschersoniana"
"25243323","lespedeza floribunda"
"442789","quercus imbricaria"
"14336535","sarcophyton trocheliophorum"
"14105070","lonicera macranthoides"
"442050","euphorbia kansui"
"5323543","hippoglossus hippoglossus"
"76317496","dermacoccus abyssi"
"unknown","unknown"
"11297287","bergenia crassifolia"
"6546086","dermocybe semisanguinea"
"21582652","lepidium campestre"
"11289099","panorpa japonica"
"91456","artemisia argyi"
"5281519","unknown"
"unknown","bartramia pomiformis"
"4056967","unknown"
"10939749","unknown"
"44614657","unknown"
"5316819","ipomoea cairica"
"11397070","apopellia endiviifolia"
"44422968","jurinea albicaulis"
"24898464","ganoderma colossum "
"46209786","acacia georginae"
"11178957","chaptalia nutans"
"71461983","unknown"
"46887052","illicium difengpi"
"76328126","guatteria boliviana"
"11334411","unknown"
"6604689","streptomyces filamentosus"
"21627963","unknown"
"54799","ocotea pulchella"
"24721539","ceanothus velutinus"
"11968629","centipeda minima"
"11467934","aglaia foveolata"
"3084224","annona glabra"
"80001","croton californicus"
"44281346","unknown"
"90669996","plagiorhegma dubium"
"442980","bambusa tulda"
"60200223","alternaria macrospora"
"21580159","unknown"
"118720800","torreya fargesii"
"44424650","erythrina abyssinica"
"76329988","pachyelasma tessmannii"
"71745715","unknown"
"unknown","pongamia pinnata"
"6438556","amycolatopsis tolypomycina"
"21573759","spinacia oleracea"
"312089","angelica decursiva"
"165675","anarsia lineatella"
"unknown","agastache rugosa"
"unknown","zephyranthes carinata"
"24878683","unknown"
"44583688","eriogaster lanestris"
"44451366","gypsophila pacifica"
"10067332","lophiostoma vaginatispora"
"14352170","sphacelaria arctica"
"11343874","polianthes tuberosa"
"21629616","euphorbia kansui"
"92138","unknown"
"5351506","euphorbia lathyris"
"23641103","perilla frutescens"
"44586758","diacarnus megaspinorhabdosa"
"44422968","dentitheca habereri"
"46878900","eurycoma longifolia"
"11712580","pandanus tectorius"
"11297287","larix cajanderi"
"10096530","isodon lungshengensis"
"11162295","unknown"
"7069830","unknown"
"16083141","tanacetum microphyllum"
"24970581","dendronephthya sp."
"44567152","minasia alpestris"
"53356511","pisonia aculeata"
"68540305","bombus muscorum"
"11007","crinum asiaticum"
"60200222","oxytropis falcata"
"unknown","unknown"
"16038940","bupleurum salicifolium"
"11464176","hibiscus syriacus"
"10794462","unknown"
"24879110","cryptocarya aschersoniana"
"10896840","eurycoma longifolia"
"10483858","unknown"
"23656472","unknown"
"15838686","albertisia papuana"
"76328130","unknown"
"12304330","unknown"
"unknown","burkholderia ambifaria"
"72360","commiphora sphaerocarpa"
"101248998","unknown"
"118713846","sarcophyton ehrenbergi"
"46932936","moringa oleifera"
"11148775","unknown"
"unknown","salvia plebeia"
"11464176","unknown"
"23260079","[candida] zeylanoides"
"44575243","polygonatum sibiricum"
"52918181","euonymus alatus"
"9928523","unknown"
"23656469","mentzelia decapetala"
"6353336","blumea aromatica"
"154279","garcinia speciosa"
"5315204","unknown"
"23656469","unknown"
"44444916","maclura cochinchinensis"
"71552546","gardenia jasminoides"
"5319333","dendriopoterium menendezii"
"11490943","unknown"
"101623719","symphyocladia latiuscula"
"10247142","elephantopus mollis"
"90474163","lidbeckia pectinata"
"21721856","pisonia aculeata"
"5321620","salvia miltiorrhiza"
"15953774","esenbeckia leiocarpa"
"11490943","satureja montana"
"6437365","unknown"
"44575603","polyporus umbellatus"
"509270","leptogorgia sarmentosa"
"12242815","unknown"
"10951947","unknown"
"5319726","chrysosplenium grayanum"
"71578720","curcuma heyneana"
"24850093","unknown"
"9939941","homo sapiens"
"unknown","celastrus vulcanicola"
"5281519","murraya exotica"
"11631769","geraea viscida"
"312089","chromolaena odorata"
"15601439","unknown"
"15548728","enterococcus faecalis"
"5317050","unknown"
"60200221","unknown"
"639655","swertia japonica"
"73356791","bruguiera gymnorhiza"
"45267410","illicium oligandrum "
"11154724","viburnum awabuki"
"10544575","quercus suber"
"443026","seseli montanum"
"11071897","primula veris"
"3496769","robinia pseudoacacia"
"15953774","unknown"
"47364","unknown"
"76308704","aspergillus cristatus"
"72819","orixa japonica"
"11297287","cerinthe minor"
"10719","artemisia absinthium"
"72715093","unknown"
"101365994","pieris japonica"
"10342293","hippoglossus hippoglossus"
"11657758","unknown"
"4501","unknown"
"44347289","dosidicus gigas"
"54671618","cotoneaster horizontalis"
"51354124","unknown"
"12045007","rosa rugosa"
"56683359","pisonia aculeata"
"90474163","rudbeckia subtomentosa"
"14138744","aspergillus fumigatus"
"38347252","brickellia glomerata"
"12304330","sedum oryzifolium"
"830726","unknown"
"23656471","dysidea fragilis"
"10432257","lissoclinum patella"
"5318644","unknown"
"23641103","pteridium aquilinum"
"44411959","astilbe koreana"
"5353370","angelica gigas"
"10694409","jungermannia obovata"
"44559634","dalbergia stipulacea"
"127039667","astragalus monspessulanus"
"14396856","onopordum anatolicum"
"14218027","glycyrrhiza uralensis"
"44584310","marrubium vulgare"
"11169907","aplysina cauliformis"
"165675","mentha canadensis"
"11214625","solanum jamaicense"
"132606987","spongia pertusa"
"44310181","unknown"
"10466745","magnolia praecocissima"
"24878961","cichorium intybus"
"21574474","portulaca oleracea"
"127034478","unknown"
"9832350","boschniakia rossica"
"11398272","styrax japonicus"
"56683154","maytenus mekongensis "
"124214","breynia vitis-idaea"
"unknown","daiswa dunniana"
"10602000","combretum quadrangulare "
"11111690","homalolepis cedron"
"6453733","unknown"
"unknown","celastrus subspicatus"
"10485148","vicia faba"
"44559634","unknown"
"46939423","unknown"
"5748601","prunus salicina"
"23656472","maclura cochinchinensis"
"11751616","nelumbo nucifera"
"76324956","plectranthus amboinicus"
"11629176","ajuga bracteosa"
"10466745","berchemia floribunda"
"10032464","unknown"
"71450489","paeonia veitchii"
"72540","unknown"
"11197","hansenia forbesii"
"5281176","beta vulgaris"
"60201874","ailanthus altissima"
"11266523","anacardium occidentale"
"44560016","unknown"
"54799","streptomyces chattanoogensis"
"unknown","inula japonica"
"15601439","hemiselmis virescens"
"92221","inula helenium"
"440364","saccharomyces cerevisiae"
"unknown","salvia plebeia"
"15011079","brickellia arguta"
"unknown","kaempferia pulchra"
"6432211","unknown"
"23656471","unknown"
"10322409","unknown"
"44511362","duranta erecta"
"44559359","capsicum annuum"
"86302558","ballota undulata"
"44612900","aralidium pinnatifidum"
"44589219","erythrina abyssinica"
"unknown","unknown"
"53235716","tephroseris integrifolia"
"72715093","aconitum contortum"
"5320475","clausena lansium"
"363209","paratinospora sagittata"
"11216146","unknown"
"5281665","scutellaria indica"
"169738","crepidiastrum sonchifolium"
"44478941","apium graveolens"
"5318045","helichrysum lepidissimum"
"44614657","geigeria schinzii"
"24896702","unknown"
"11754973","bartramia pomiformis"
"23626544","anemarrhena asphodeloides"
"60200065","unknown"
"16657205","abutilon bidentatum"
"5322076","unknown"
"44437163","polysiphonia urceolata"
"71681245","unknown"
"73353722","moorea producens"
"10600994","diospyros kaki"
"11666202","unknown"
"14274760","ilex brevicuspis"
"90680629","unknown"
"70164","taraxacum formosanum"
"441443;25246035","unknown"
"9832350","curcuma aeruginosa"
"10914066","symphyocladia latiuscula"
"90655424","stichoneuron caudatum"
"5281690","pseudoalteromonas rubra"
"10469","drosera peltata"
"3084982","parasenecio hastatus"
"10358881","unknown"
"25243536","diacarnus bismarckensis"
"unknown","hypericum monogynum"
"53320497","unknown"
"34781","unknown"
"unknown","cyanthillium cinereum"
"11037703","astragalus sevangensis"
"unknown","sophora alopecuroides"
"60156058","isatis indigotica "
"60200066","eucalyptus resinifera"
"482787","attalea cohune"
"509269","unknown"
"222656","taraxacum coreanum"
"10308838","unknown"
"19910294","myelochroa aurulenta"
"71461984","clathria prolifera"
"10988275","litsea verticillata"
"637182","astragalus inopinatus"
"5319485","hemerocallis fulva"
"222656","chelidonium majus"
"86302286","nigella glandulifera"
"441893","ruscus aculeatus"
"21634413","verticillium biguttatum"
"44423037","unknown"
"16083145","unknown"
"10327179","astragalus inopinatus"
"10401988","unknown"
"1796220","pimpinella peregrina"
"23260007","artemisia lactiflora"
